Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;814824;2145
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;3165;685
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;12960;588
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;7707;174
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;6295;83
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;3301;23
2000;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;1217;3
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;28476;5471
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;161501;7336
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;163690;3594
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;162853;1974
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;371132;2177
2000;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1303993;3097
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;2042;435
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;8578;400
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;03 bis unter 5 Jahre;5179;117
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;05 bis unter 10 Jahre;3296;41
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;10 bis unter 20 Jahre;1859;13
2000;04 Leipziger Vorstadt, Pieschen;Ausländer;20 Jahre und mehr;2707;8
2000;05 Mickten, Kaditz, Trachau;Deutsche;00 bis unter 1 Jahr;24135;4377
2000;05 Mickten, Kaditz, Trachau;Deutsche;01 bis unter 3 Jahre;147291;6522
2000;05 Mickten, Kaditz, Trachau;Deutsche;03 bis unter 5 Jahre;151902;3379
2000;05 Mickten, Kaditz, Trachau;Deutsche;05 bis unter 10 Jahre;175978;2105
2000;05 Mickten, Kaditz, Trachau;Deutsche;10 bis unter 20 Jahre;530137;3097
2000;05 Mickten, Kaditz, Trachau;Deutsche;20 Jahre und mehr;2038954;4736
2000;05 Mickten, Kaditz, Trachau;Ausländer;00 bis unter 1 Jahr;669;147
2000;05 Mickten, Kaditz, Trachau;Ausländer;01 bis unter 3 Jahre;2782;137
2000;05 Mickten, Kaditz, Trachau;Ausländer;03 bis unter 5 Jahre;1772;38
2000;05 Mickten, Kaditz, Trachau;Ausländer;05 bis unter 10 Jahre;2444;32
2000;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;1692;10
2000;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;3632;12
2000;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;13777;2872
2000;06 StB Klotzsche und nördliche OS;Deutsche;01 bis unter 3 Jahre;140397;6176
2000;06 StB Klotzsche und nördliche OS;Deutsche;03 bis unter 5 Jahre;163778;3618
2000;06 StB Klotzsche und nördliche OS;Deutsche;05 bis unter 10 Jahre;308918;3749
2000;06 StB Klotzsche und nördliche OS;Deutsche;10 bis unter 20 Jahre;847309;5069
2000;06 StB Klotzsche und nördliche OS;Deutsche;20 Jahre und mehr;3084406;7236
2000;06 StB Klotzsche und nördliche OS;Ausländer;00 bis unter 1 Jahr;604;127
2000;06 StB Klotzsche und nördliche OS;Ausländer;01 bis unter 3 Jahre;3445;163
2000;06 StB Klotzsche und nördliche OS;Ausländer;03 bis unter 5 Jahre;2290;51
2000;06 StB Klotzsche und nördliche OS;Ausländer;05 bis unter 10 Jahre;2829;36
2000;06 StB Klotzsche und nördliche OS;Ausländer;10 bis unter 20 Jahre;2433;16
2000;06 StB Klotzsche und nördliche OS;Ausländer;20 Jahre und mehr;2683;6
2000;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;00 bis unter 1 Jahr;16442;3270
2000;07 StB Loschwitz und OS Schönfeld-Weißig;Deutsche;01 bis unter 3 Jahre;143523;6247
