Jahr;Stadtteil zus. (Kriminalität);Stadtteil (Kriminalität);Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Fälle erfasst (Tatortprinzip);Fälle aufgeklärt;Tatverdächtige insgesamt
2004;42 Bühlau/Weißer Hirsch;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;425;236;186
2004;42 Bühlau/Weißer Hirsch;44 Dresdner Heide;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;31;15;18
2004;43 Hosterwitz/Pillnitz;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;122;58;52
2004;45 Weißig;45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;448;257;232
2004;46 Gönnsdorf/Pappritz;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;69;49;35
2004;47 Schönfeld/Schullwitz;47 Schönfeld/Schullwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;85;39;32
2004;51 Blasewitz;51 Blasewitz;08 Blasewitz, Striesen;StB 5 Blasewitz;984;448;441
2004;52 Striesen-Ost;52 Striesen-Ost;08 Blasewitz, Striesen;StB 5 Blasewitz;767;371;281
2004;53 Striesen-Süd;53 Striesen-Süd;08 Blasewitz, Striesen;StB 5 Blasewitz;429;182;160
2004;54 Striesen-West;54 Striesen-West;08 Blasewitz, Striesen;StB 5 Blasewitz;897;556;463
2004;55 Tolkewitz/Seidnitz-Nord;55 Tolkewitz/Seidnitz-Nord;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;440;183;156
2004;56 Seidnitz/Dobritz;56 Seidnitz/Dobritz;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;1235;725;629
2004;57 Gruna;57 Gruna;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;731;320;298
