Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Haushalt-Größe-5;Anzahl Einwohner;Anzahl Haushalte
1999;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;4-Pers-Haush.;2328;582
1999;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;5-u.m.-Pers-Hh.;511;98
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;2653;2653
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;4664;2332
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;2604;868
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1900;475
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;481;91
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;2209;2209
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;3720;1860
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;2862;954
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1868;467
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;394;76
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;1138;1138
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;2382;1191
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;2106;702
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1828;457
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;698;135
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;1-Pers-Haush.;1281;1281
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;2-Pers-Haush.;1710;855
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;3-Pers-Haush.;1716;572
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;4-Pers-Haush.;1104;276
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;5-u.m.-Pers-Hh.;306;59
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1-Pers-Haush.;1389;1389
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2-Pers-Haush.;2170;1085
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3-Pers-Haush.;1572;524
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);4-Pers-Haush.;1352;338
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5-u.m.-Pers-Hh.;350;67
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1-Pers-Haush.;2137;2137
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2-Pers-Haush.;2532;1266
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3-Pers-Haush.;2217;739
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);4-Pers-Haush.;1512;378
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5-u.m.-Pers-Hh.;620;114
1999;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1-Pers-Haush.;1330;1330
1999;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2-Pers-Haush.;2274;1137
